nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
202711,Bojan Bogdanović,2023,DET,PF,32.083,-0.619,0.885,-1.504,2.179,Shot Creator,Helper
202722,Davis Bertans,2023,DAL,PF,10.929,-0.991,-0.202,-0.789,0.451,Off Screen Shooter,Helper
203076,Anthony Davis,2023,LAL,C,34.01,5.271,3.111,2.16,9.068,Shot Creator,Anchor Big
203078,Bradley Beal,2023,WAS,SG,33.459,1.216,1.977,-0.761,3.861,Shot Creator,Chaser
203081,Damian Lillard,2023,POR,PG,36.321,3.793,6.283,-2.49,8.206,Shot Creator,Chaser
203082,Terrence Ross,2023,ORL/PHO,SG,21.119,-2.118,-0.794,-1.324,0.282,Off Screen Shooter,Chaser
203083,Andre Drummond,2023,CHI,C,12.674,1.716,-0.356,2.072,2.226,Roll + Cut Big,Mobile Big
203084,Harrison Barnes,2023,SAC,PF,32.464,0.908,0.951,-0.043,5.628,Movement Shooter,Wing Stopper
203085,Austin Rivers,2023,MIN,SG,19.543,-3.16,-2.424,-0.737,-0.437,Stationary Shooter,Point of Attack
203095,Evan Fournier,2023,NYK,SG,16.988,-1.219,-0.576,-0.643,0.355,Movement Shooter,Chaser
203109,Jae Crowder,2023,MIL,PF,18.871,-0.687,-0.757,0.07,0.376,Movement Shooter,Helper
203110,Draymond Green,2023,GSW,PF,31.472,1.173,-1.829,3.002,5.241,Roll + Cut Big,Helper
203114,Khris Middleton,2023,MIL,SF,24.267,0.573,1.276,-0.703,1.524,Shot Creator,Helper
203115,Will Barton,2023,WAS/TOR,SG,17.732,-1.645,-1.176,-0.469,0.503,Secondary Ball Handler,Low Activity
203200,Justin Holiday,2023,ATL/DAL,SF,15.35,-2.826,-1.746,-1.08,-0.159,Off Screen Shooter,Helper
203210,Jamychal Green,2023,GSW,PF,13.978,-1.292,-1.043,-0.248,0.58,Stretch Big,Helper
203468,Cj Mccollum,2023,NOP,PG,35.322,0.565,2.016,-1.451,5.029,Primary Ball Handler,Chaser
203469,Cody Zeller,2023,MIA,C,14.441,-1.062,-1.1,0.038,0.189,Athletic Finisher,Mobile Big
203471,Dennis Schröder,2023,LAL,PG,30.09,-0.303,0.059,-0.362,2.681,Primary Ball Handler,Point of Attack
203473,Dewayne Dedmon,2023,MIA/PHI,C,11.216,-0.302,-1.134,0.832,0.576,Roll + Cut Big,Anchor Big
203476,Gorgui Dieng,2023,SAS,C,11.552,-1.085,-1.095,0.01,0.307,Movement Shooter,Anchor Big
