pace_pad,q_bot_em,q_x_left_bot,q_x_right_bot,champ_capture_excl_uconn,uconn_excluded,avg_inside_per_season,inside_growth,depth_corr
0.5,0.945,0.1,0.85,4,False,16.38095238095238,7.428571428571427,0.17515841273793276
0.5,0.945,0.1,0.9,4,False,16.857142857142858,7.904761904761905,0.17558749526170447
0.5,0.945,0.15,0.7,4,False,14.523809523809524,5.571428571428571,0.17477980290842401
0.5,0.945,0.15,0.75,4,False,14.761904761904763,5.80952380952381,0.17497102756561628
0.5,0.945,0.15,0.8,4,False,15.428571428571429,6.476190476190476,0.17496636868175106
0.5,0.945,0.15,0.85,4,False,15.904761904761905,6.9523809523809526,0.1748876457798291
0.5,0.945,0.15,0.9,4,False,16.38095238095238,7.428571428571427,0.1752363883210442
0.5,0.945,0.2,0.7,4,False,14.095238095238095,5.142857142857142,0.174780652820334
0.5,0.945,0.2,0.75,4,False,14.333333333333334,5.380952380952381,0.17494445920698684
0.5,0.945,0.2,0.8,4,False,15.0,6.0476190476190474,0.17492138868515963
0.5,0.945,0.2,0.85,4,False,15.476190476190476,6.523809523809524,0.17479362483640154
0.5,0.945,0.2,0.9,4,False,15.952380952380953,7.0,0.17512542455217364
0.5,0.945,0.25,0.7,4,False,13.523809523809524,4.571428571428571,0.1746305007178078
0.5,0.945,0.25,0.75,4,False,13.761904761904763,4.80952380952381,0.17478570024872986
0.5,0.945,0.25,0.8,4,False,14.428571428571429,5.476190476190476,0.17475604590488453
0.5,0.945,0.25,0.85,4,False,14.904761904761905,5.9523809523809526,0.17458264028891599
0.5,0.945,0.25,0.9,4,False,15.380952380952381,6.428571428571429,0.1748517743521529
0.5,0.945,0.3,0.7,4,False,13.142857142857142,4.19047619047619,0.17460998788793444
0.5,0.945,0.3,0.75,4,False,13.380952380952381,4.428571428571429,0.17473840105969418
0.5,0.945,0.3,0.8,4,False,14.047619047619047,5.095238095238095,0.1746630645123027
0.5,0.945,0.3,0.85,4,False,14.523809523809524,5.571428571428571,0.1744812109778738
0.5,0.945,0.3,0.9,4,False,15.0,6.0476190476190474,0.17473139846409733
0.5,0.95,0.1,0.7,4,False,13.666666666666666,4.7142857142857135,0.1756251632418105
0.5,0.95,0.1,0.75,4,False,13.904761904761905,4.9523809523809526,0.17559893670981108
0.5,0.95,0.1,0.8,4,False,14.571428571428571,5.619047619047619,0.17552734286803223
0.5,0.95,0.1,0.85,4,False,14.904761904761905,5.9523809523809526,0.17542408739275245
0.5,0.95,0.1,0.9,4,False,15.428571428571429,6.476190476190476,0.17549812634546902
0.5,0.95,0.15,0.7,4,False,13.380952380952381,4.428571428571429,0.17549674954495675
0.5,0.95,0.15,0.75,4,False,13.619047619047619,4.666666666666666,0.17543045096200877
0.5,0.95,0.15,0.8,4,False,14.285714285714286,5.333333333333334,0.17536274847859806
0.5,0.95,0.15,0.85,4,False,14.619047619047619,5.666666666666666,0.17526724748770697
0.5,0.95,0.15,0.9,4,False,15.142857142857142,6.19047619047619,0.17529726976607843
0.5,0.95,0.2,0.7,4,False,12.80952380952381,3.8571428571428577,0.17543057988972255
0.5,0.95,0.2,0.75,4,False,13.047619047619047,4.095238095238095,0.1753432519732573
0.5,0.95,0.2,0.8,4,False,13.714285714285714,4.761904761904761,0.17525126891935472
0.5,0.95,0.2,0.85,4,False,14.047619047619047,5.095238095238095,0.17511903087044844
0.5,0.95,0.2,0.9,4,False,14.571428571428571,5.619047619047619,0.17513472071600708
0.5,0.95,0.25,0.7,4,False,12.619047619047619,3.666666666666666,0.17542616529032354
0.5,0.95,0.25,0.75,4,False,12.857142857142858,3.904761904761905,0.17534592143413755
0.5,0.95,0.25,0.8,4,False,13.523809523809524,4.571428571428571,0.17523744015004897
0.5,0.95,0.25,0.85,4,False,13.857142857142858,4.904761904761905,0.17509345443372396
0.5,0.95,0.25,0.9,4,False,14.380952380952381,5.428571428571429,0.17508034822735796
0.5,0.95,0.3,0.7,4,False,12.047619047619047,3.095238095238095,0.1752781461112745
0.5,0.95,0.3,0.75,4,False,12.285714285714286,3.333333333333334,0.17519720510435605
0.5,0.95,0.3,0.8,4,False,12.952380952380953,4.0,0.17505526660800586
0.5,0.95,0.3,0.85,4,False,13.285714285714286,4.333333333333334,0.17488382305295944
0.5,0.95,0.3,0.9,4,False,13.80952380952381,4.857142857142858,0.17487132440667924
0.5,0.955,0.1,0.7,3,False,11.904761904761905,2.9523809523809526,0.17640321334919912
0.5,0.955,0.1,0.75,4,False,12.380952380952381,3.428571428571429,0.1764874033790401
0.5,0.955,0.1,0.8,4,False,12.761904761904763,3.80952380952381,0.1764343478346078
0.5,0.955,0.1,0.85,4,False,13.238095238095237,4.285714285714285,0.17636020930987278
0.5,0.955,0.1,0.9,4,False,13.619047619047619,4.666666666666666,0.1763607068925707
0.5,0.955,0.15,0.7,3,False,11.761904761904763,2.80952380952381,0.17637048941293712
0.5,0.955,0.15,0.75,4,False,12.238095238095237,3.2857142857142847,0.17643211064070893
0.5,0.955,0.15,0.8,4,False,12.619047619047619,3.666666666666666,0.17636908761245146
0.5,0.955,0.15,0.85,4,False,13.095238095238095,4.142857142857142,0.17627635997311672
