
============================================================
BACKFILLING HISTORICAL AP POLLS
============================================================

  # 9 North Carolina (matched from 'North Carolina')
  #10 Gonzaga (matched from 'Gonzaga')
  #11 Oklahoma (matched from 'Oklahoma')
  #12 Tennessee (matched from 'Tennessee')
  #13 Clemson (matched from 'Clemson')
  #14 Kentucky (matched from 'Kentucky')
  #16 Illinois (matched from 'Illinois')
  #17 Colorado St. (matched from 'Colorado St.')
  #18 BYU (matched from 'BYU')
  #19 Texas (matched from 'Texas')
  #20 James Madison (matched from 'James Madison')
  #21 Duke (matched from 'Duke')
  #22 Virginia (matched from 'Virginia')
  #23 Wisconsin (matched from 'Wisconsin')
  #24 Miami (FL) (matched from 'Miami (FL)')
  #25 Northwestern (matched from 'Northwestern')
✓ Updated 24 teams for 2024

Fetching 2025 AP Polls: https://www.sports-reference.com/cbb/seasons/2025-polls.html
  # 1 Tennessee (matched from 'Tennessee')
  # 2 Auburn (matched from 'Auburn')
  # 3 Iowa St. (matched from 'Iowa St.')
  # 4 Duke (matched from 'Duke')
  # 5 Kentucky (matched from 'Kentucky')
  # 6 Marquette (matched from 'Marquette')
  # 7 Alabama (matched from 'Alabama')
  # 8 Gonzaga (matched from 'Gonzaga')
  # 9 Florida (matched from 'Florida')
  #10 Kansas (matched from 'Kansas')
  #11 Purdue (matched from 'Purdue')
  #12 Oregon (matched from 'Oregon')
  #13 Oklahoma (matched from 'Oklahoma')
  #14 Michigan (matched from 'Michigan')
  #15 Houston (matched from 'Houston')
  #16 Clemson (matched from 'Clemson')
  #17 Texas A&M (matched from 'Texas A&M')
  #18 Connecticut (matched from 'UConn')
  #19 Mississippi (matched from 'Ole Miss')
  #20 Wisconsin (matched from 'Wisconsin')
  #21 Michigan St. (matched from 'Michigan St.')
  #22 Cincinnati (matched from 'Cincinnati')
  #23 San Diego St. (matched from 'San Diego St.')
  #24 UCLA (matched from 'UCLA')
  #25 Mississippi St. (matched from 'Mississippi St.')
✓ Updated 25 teams for 2025

Fetching 2026 AP Polls: https://www.sports-reference.com/cbb/seasons/2026-polls.html

============================================================
Finished. Total ratings updated: 516
Could not match 11 teams:
  - 2005 - Pitt
  - 2005 - NC St.
  - 2006 - NC St.
  - 2007 - Pitt
  - 2008 - Pitt
  - 2009 - Pitt
  - 2011 - Pitt
  - 2012 - Pitt
  - 2013 - NC St.
  - 2014 - UMass
  - 2024 - Florida Atlantic
============================================================
