player_name,player_id,team_id,minutes,usg_pct,box_bpr_old,box_bpr_new,box_obpr_new,box_dbpr_new,BPM,divergence_old,divergence_new
Kristaps Porziņģis,306,21,616.7777777777777,0.265,-0.251,-0.126,-0.12,-0.006,-0.2,-0.051,0.074
GG Jackson,118,28,1584.6539393939395,0.23,-0.321,0.145,0.621,-0.476,,,
Landry Shamet,88,3,72.68333333333334,0.151,4.862,4.738,1.592,3.146,-0.3,5.162,5.038
Isaiah Collier,463,20,1902.5734463276838,0.204,-4.919,-5.106,-2.131,-2.975,-2.4,-2.519,-2.706
Taurean Prince,338,10,611.3166666666667,0.157,-0.868,0.451,1.206,-0.755,-3.1,2.232,3.551
Daniel Gafford,461,26,1237.9536363636362,0.151,0.024,-1.018,-1.344,0.326,0.7,-0.676,-1.718
Jusuf Nurkić,168,20,1294.3768292682928,0.186,-1.263,-1.86,-1.194,-0.666,1.1,-2.363,-2.96
Guerschon Yabusele,85,3,419.19796747967473,0.155,-2.955,-3.505,-2.71,-0.795,-1.3,-1.655,-2.205
Luke Kennard,311,11,1025.5434782608695,0.131,1.383,0.308,-0.027,0.335,-0.4,1.783,0.708
Isaiah Stewart,150,8,113.16666666666667,0.164,3.391,2.367,0.126,2.241,0.0,3.391,2.367
Sam Hauser,54,1,164.15,0.141,5.234,5.808,3.528,2.28,0.6,4.634,5.208
Micah Potter,521,9,1004.9460992907802,0.174,-0.097,-1.04,-0.544,-0.496,0.7,-0.797,-1.74
Marcus Smart,6,23,1883.1467741935485,0.151,4.058,5.53,2.76,2.77,-2.2,6.258,7.73
Javon Small,113,28,910.8841463414634,0.183,0.004,-0.492,-0.431,-0.061,1.0,-0.996,-1.492
Isaiah Hartenstein,28,18,1185.8695035460992,0.153,6.504,7.412,1.935,5.477,4.2,2.304,3.212
Kobe Brown,187,22,433.235294117647,0.154,-3.712,-3.737,-1.745,-1.992,-2.8,-0.912,-0.937
Corey Kispert,352,11,65.0,0.179,-0.997,-2.302,-1.724,-0.578,-2.3,1.303,-0.002
Aaron Wiggins,32,18,43.354166666666664,0.194,2.999,2.731,-0.358,3.089,-0.9,3.899,3.631
Herbert Jones,122,29,1645.1458333333333,0.153,0.372,0.606,-0.419,1.025,-3.1,3.472,3.706
Day'Ron Sharpe,237,2,1178.6758064516127,0.19,2.06,1.149,-0.397,1.546,1.4,0.66,-0.251
Daeqwon Plowden,272,25,1055.4791666666667,0.157,-3.335,-3.144,-0.829,-2.315,-4.4,1.065,1.256
Cason Wallace,29,18,109.68333333333334,0.141,7.411,7.864,1.856,6.008,1.2,6.211,6.664
Ziaire Williams,235,2,1555.8238095238094,0.179,1.769,-0.27,-2.194,1.924,-1.7,3.469,1.43
Keegan Murray,493,25,1310.3115942028985,0.182,-0.794,-1.693,-1.629,-0.064,-3.1,2.306,1.407
Jordan Poole,123,29,1507.5576923076924,0.235,-1.78,-2.705,-2.364,-0.341,-3.5,1.72,0.795
Daniss Jenkins,155,8,146.61666666666667,0.209,4.698,3.364,-0.595,3.959,-0.7,5.398,4.064
Zaccharie Risacher,304,11,45.43333333333333,0.168,3.372,3.389,1.208,2.181,-2.5,5.872,5.889
Nique Clifford,260,25,1957.1933333333334,0.167,-0.231,-0.244,-0.556,0.312,-4.9,4.669,4.656
Jordan Goodwin,256,24,4.983333333333333,0.167,4.456,4.966,1.45,3.516,1.8,2.656,3.166
Danny Wolf,243,2,1291.3040935672516,0.201,-0.005,-1.402,-2.363,0.961,-2.5,2.495,1.098
T.J. McConnell,482,9,1100.0190476190476,0.227,0.356,0.469,0.892,-0.423,2.5,-2.144,-2.031
Ronald Holland II,152,8,58.63333333333333,0.184,4.988,3.161,-1.595,4.756,,,
Isaac Okoro,132,6,1910.1253968253968,0.137,-2.529,-2.329,-0.79,-1.539,-3.8,1.271,1.471
Jake LaRavia,7,23,103.85,0.138,-0.963,0.739,0.772,-0.033,-1.2,0.237,1.939
Collin Murray-Boyles,436,5,1289.3397660818712,0.15,2.953,2.859,0.223,2.636,1.0,1.953,1.859
Jaden Ivey,495,8,554.7833333333333,0.192,2.491,0.867,-1.844,2.711,0.1,2.391,0.767
Kentavious Caldwell-Pope,106,28,1130.2509803921569,0.173,-0.045,-0.516,-1.129,0.613,-2.5,2.455,1.984
Davion Mitchell,207,13,2314.632857142857,0.137,2.222,2.237,1.14,1.097,-0.9,3.122,3.137
Jonas Valančiūnas,395,16,37.5,0.26,-0.624,-1.317,-0.31,-1.007,0.0,-0.624,-1.317
Vít Krejčí,315,19,20.479166666666664,0.142,-0.726,-1.958,-1.987,0.029,-2.4,1.674,0.442
Nolan Traore,242,2,1376.639880952381,0.224,-2.824,-2.725,-1.452,-1.273,,,
Quenton Jackson,439,9,1025.6190476190477,0.2,0.751,0.661,-0.428,1.089,-1.8,2.551,2.461
Olivier-Maxence Prosper,111,28,1224.8603773584907,0.183,-1.829,-2.071,-0.521,-1.55,-0.1,-1.729,-1.971
Draymond Green,15,21,1978.8705882352942,0.158,-0.216,-0.288,-1.24,0.952,-1.4,1.184,1.112
Bruce Brown,393,16,116.18333333333332,0.142,1.042,0.904,0.626,0.278,-2.4,3.442,3.304
Luguentz Dort,26,18,125.83333333333334,0.139,5.096,5.623,1.73,3.893,-2.0,7.096,7.623
