player_name,team,minutes,USG_pct,bpr,z_bpr,z_consensus,divergence,abs_div,BPM,LEBRON,WS48,PER
Zeke Nnaji,DEN,626.0,13.7,-3.265,-1.118,-0.846,-0.271,0.271,-3.5,-2.761,0.066,10.3
Karlo Matković,NOP,912.0,13.1,1.215,0.197,0.465,-0.269,0.269,0.7,-0.661,0.141,16.5
Yanic Konan Niederhäuser,LAC,424.0,15.7,0.691,0.043,0.31,-0.268,0.268,-2.2,-0.349,0.152,16.4
Nick Richards,2TM,701.0,18.2,-3.503,-1.187,-0.924,-0.263,0.263,-6.1,-1.693,0.04,11.9
Scottie Barnes,TOR,2681.0,23.4,4.487,1.156,1.419,-0.263,0.263,4.2,2.995,0.14,19.2
Jaden McDaniels,MIN,2316.0,18.5,-0.229,-0.227,0.036,-0.263,0.263,-0.3,-1.154,0.109,14.0
Deni Avdija,POR,2199.0,29.3,4.297,1.101,1.36,-0.26,0.26,4.3,1.704,0.152,20.3
Trey Murphy III,NOP,2341.0,22.7,2.412,0.548,0.804,-0.257,0.257,2.4,0.541,0.123,18.3
Dwight Powell,DAL,904.0,8.9,-0.205,-0.22,0.036,-0.256,0.256,-1.4,-0.778,0.138,12.6
Josh Minott,BOS,526.0,13.8,2.118,0.462,0.712,-0.25,0.25,2.2,-0.349,0.173,15.6
Lachlan Olbrich,CHI,344.0,13.4,-2.007,-0.749,-0.499,-0.25,0.25,-3.4,,0.075,12.0
Kentavious Caldwell-Pope,MEM,1088.0,17.7,-2.568,-0.913,-0.664,-0.249,0.249,-2.5,-1.34,0.032,11.0
Ausar Thompson,DET,1896.0,16.9,3.639,0.908,1.146,-0.238,0.238,3.1,2.821,0.144,16.2
Ousmane Dieng,MIL,804.0,21.5,-4.111,-1.366,-1.132,-0.234,0.234,-4.6,-1.62,-0.02,10.3
Gary Harris,MIL,661.0,8.5,-3.596,-1.215,-0.981,-0.234,0.234,-2.5,-2.993,0.054,8.0
Payton Pritchard,BOS,2556.0,21.4,3.413,0.841,1.073,-0.231,0.231,2.3,1.921,0.16,17.1
