player_name,player_id,bpr_new,bpr_old,box_bpr,bpm
id=1628449,1628449,-0.341,-0.465,,
Amir Coffey,1629599,-0.346,-0.49,0.497,-0.5
Saddiq Bey,1630180,-0.362,-0.757,-0.324,0.5
Chaney Johnson,1643052,-0.374,-0.196,-0.846,0.1
id=1642066,1642066,-0.41,-0.574,,
Danny Wolf,1642874,-0.423,-0.532,-1.146,-2.5
id=1642362,1642362,-0.434,-0.496,,
id=1642918,1642918,-0.45,-0.613,,
Ayo Dosunmu,1630245,-0.459,-0.833,2.31,1.5
E.J. Liddell,1630604,-0.46,-0.493,-0.068,-3.3
Taylor Hendricks,1641707,-0.463,-0.111,-3.254,-1.5
Brook Lopez,201572,-0.475,-1.307,3.51,-0.9
Yuki Kawamura,1642530,-0.501,-0.246,-1.975,-3.7
id=1642855,1642855,-0.506,-0.71,,
id=1641998,1641998,-0.514,-0.753,,
Javonte Green,1629750,-0.525,-1.421,5.134,2.1
LJ Cryer,1643018,-0.534,-0.682,0.877,-4.7
Alex Sarr,1642259,-0.534,-0.267,-2.086,0.7
Anthony Edwards,1630162,-0.554,-1.013,4.158,4.5
Jericho Sims,1630579,-0.571,0.364,-4.025,-3.1
Nick Smith Jr.,1641733,-0.571,-0.664,0.32,-4.7
id=1630625,1630625,-0.587,-0.731,,
id=1631247,1631247,-0.588,-0.813,,
id=1630548,1630548,-0.609,-0.79,,
Myles Turner,1626167,-0.64,-0.503,0.978,-0.9
Naji Marshall,1630230,-0.642,-0.733,-0.196,-0.6
id=1630164,1630164,-0.649,-0.894,,
Pat Spencer,1630311,-0.655,-0.532,-0.787,-2.3
id=1642917,1642917,-0.677,-0.911,,
id=1629646,1629646,-0.677,-0.887,,
id=1642911,1642911,-0.68,-0.906,,
id=1630286,1630286,-0.699,-0.973,,
Keon Ellis,1631165,-0.712,-1.148,0.142,1.1
id=1630644,1630644,-0.723,-0.918,,
Andrew Wiggins,203952,-0.731,-0.68,0.664,1.2
id=1631338,1631338,-0.749,-1.01,,
id=1641815,1641815,-0.75,-1.027,,
id=1629162,1629162,-0.756,-0.807,,
